iter	Passed	Remaining
869	24989	3734
870	25016	3705
871	25042	3676
872	25074	3647
873	25104	3619
874	25132	3590
875	25161	3561
876	25191	3533
877	25218	3504
878	25247	3475
879	25275	3446
880	25303	3417
881	25332	3389
882	25362	3360
883	25391	3331
884	25419	3303
885	25449	3274
886	25476	3245
887	25505	3216
888	25534	3188
889	25563	3159
890	25594	3131
891	25622	3102
892	25648	3073
893	25676	3044
894	25703	3015
895	25732	2986
896	25760	2957
897	25820	2932
898	25858	2905
899	25887	2876
900	25917	2847
901	25944	2818
902	25974	2790
903	26003	2761
904	26032	2732
905	26062	2704
906	26090	2675
907	26121	2646
908	26149	2617
909	26176	2588
910	26204	2560
911	26249	2532
912	26279	2504
913	26311	2475
914	26343	2447
915	26380	2419
916	26408	2390
917	26440	2361
918	26467	2332
919	26494	2303
920	26522	2274
921	26549	2246
922	26579	2217
923	26607	2188
924	26635	2159
925	26709	2134
926	26745	2106
927	26784	2078
928	26811	2049
929	26838	2020
930	26867	1991
931	26896	1962
932	26925	1933
933	26955	1904
934	26982	1875
935	27009	1846
936	27037	1817
937	27063	1788
938	27097	1760
939	27125	1731
940	27154	1702
941	27186	1673
942	27215	1645
943	27244	1616
944	27275	1587
945	27304	1558
946	27335	1529
947	27365	1501
948	27392	1472
949	27420	1443
950	27449	1414
951	27476	1385
952	27504	1356
953	27532	1327
954	27562	1298
955	27593	1269
956	27619	1241
957	27647	1212
958	27674	1183
959	27700	1154
960	27729	1125
961	27757	1096
962	27785	1067
963	27813	1038
964	27840	1009
965	27868	980
966	27895	951
967	27922	923
968	27948	894
969	27976	865
970	28006	836
971	28034	807
972	28061	778
973	28087	749
974	28114	720
975	28141	692
976	28169	663
977	28195	634
978	28224	605
979	28250	576
980	28277	547
981	28304	518
982	28331	489
983	28358	461
984	28386	432
985	28413	403
986	28442	374
987	28469	345
988	28495	316
989	28522	288
990	28549	259
991	28577	230
992	28605	201
993	28634	172
994	28662	144
995	28688	115
996	28715	86
997	28742	57
998	28771	28
999	28799	0
